,name,coefs,coefs_squared
0,x0,-0.06015940671168747,0.0036191542159022274
1,x1,-0.033721434597239516,0.0011371351512959023
2,x2,0.007244267712488914,5.247941469020936e-05
3,x3,0.035127996559394435,0.0012339761422768274
4,x4,0.006451017693041313,4.1615629275932056e-05
5,x6,-0.006950071664707774,4.8303496144573886e-05
6,x7,0.020961102913977524,0.00043936783537035706
7,x8,0.007713600489459097,5.949963251098361e-05
8,x9,0.01837433917543013,0.00033761634013374636
9,x10,-0.00970258581602805,9.414017151738871e-05
10,x11,-0.0015863144266084921,2.5163934600662292e-06
11,x12,-0.40705803103963817,0.16569624063386704
12,x13,0.0005143114281471469,2.6451624512275786e-07
13,x14,0.0010470349636370207,1.0962822150783774e-06
14,x15,0.00012147209838323021,1.475547068562516e-08
15,x16,-0.00908038287956982,8.245335323958468e-05
16,x17,0.010061337343203363,0.00010123050913373851
17,x18,-0.01083198636306784,0.00011733192856968765
18,x19,0.018040318198862405,0.0003254530807162061
19,x20,0.004490593200033919,2.0165427288190877e-05
20,x21,-0.004084174731271904,1.6680483235559924e-05
21,x22,-0.009437842052802181,8.907286261364129e-05
22,x23,0.0046378704617779515,2.150984242023243e-05
23,x24,-0.0007266889425506278,5.280768192253496e-07
24,x25,0.010013228254732175,0.00010026474008136677
25,x26,-0.00475011288276883,2.2563572399046405e-05
26,x27,0.010401159616957813,0.000108184121377434
27,x28,0.0010467653342940409,1.095717665079715e-06
28,x29,0.007110758489492105,5.056288629588404e-05
29,x30,0.01688204861996978,0.00028500356560702355
30,x32,0.012102733428563689,0.000146476156442873
31,x33,0.008755759941930683,7.666333216071799e-05
32,x34,-0.0006708179733900251,4.499967534231005e-07
33,x35,-0.0019059000803621127,3.6324551163243075e-06
34,x36,0.010713911163998831,0.00011478789243005879
35,x37,-0.002371514671470104,5.6240818369979546e-06
36,x38,0.004461697165676598,1.990674159820659e-05
37,x39,0.007913616401192163,6.26253245452176e-05
38,x40,0.0059693831672344095,3.563353539726151e-05
39,x41,0.019299930952393914,0.00037248733476717266
40,x42,-0.0019429676524221017,3.775123298358653e-06
41,x43,0.013437143198243112,0.00018055681733009112
42,x44,-0.5196724030563593,0.2700594064983712
43,x45,0.0,0.0
44,x46,0.051451458124563296,0.0026472525431436903
45,x47,-0.09350235722738244,0.008742690807077038
46,x48,-0.09146049546181965,0.008365022230121534
47,x49,0.0531066971515385,0.0028203212823452273
48,x50,0.010984209895440807,0.00012065286702709973
49,x51,-0.027507362864965537,0.0007566550117848851
50,x52,-0.014155921538542162,0.0002003901146053619
51,x53,-0.6295842981342418,0.3963763884571858
52,x54,0.006520791430874287,4.252072088496354e-05
53,x55,-0.004751389404314669,2.2575701271433708e-05
54,x56,0.17881809984891056,0.03197591283357495
55,x57,0.11180692761621586,0.012500789062977732
56,x58,0.18780060665341614,0.03526906785939113
57,x59,0.1408742068959508,0.019845542168563147
